[17-Nov-2017 19:13:26 UTC] PHP Fatal error:  Class 'App\Http\Controllers\App\Models\User' not found in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 110
[17-Nov-2017 19:16:13 UTC] PHP Fatal error:  Class 'App\Http\Controllers\App\Models\User' not found in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 110
[17-Nov-2017 19:22:35 UTC] PHP Fatal error:  Class 'App\Http\Controllers\Agentes' not found in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 110
[17-Nov-2017 19:23:09 UTC] PHP Fatal error:  Class 'App\Http\Controllers\agentes' not found in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 110
[17-Nov-2017 19:26:56 UTC] PHP Fatal error:  Class 'App\Http\Controllers\Agente' not found in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 110
[17-Nov-2017 19:28:29 UTC] PHP Fatal error:  Class 'App\Http\Controllers\Agente' not found in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 110
[17-Nov-2017 19:36:23 UTC] PHP Fatal error:  Class 'App\Http\Controllers\Agente' not found in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 110
[17-Nov-2017 19:38:40 UTC] PHP Fatal error:  Class 'App\Http\Controllers\Agente' not found in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 110
[17-Nov-2017 20:00:55 UTC] PHP Fatal error:  Class 'App\Http\Controllers\App\Models\Agente' not found in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 111
[17-Nov-2017 20:03:07 UTC] PHP Fatal error:  Call to a member function agentes() on null in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 111
[17-Nov-2017 20:04:34 UTC] PHP Fatal error:  Call to a member function agentes() on null in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 111
[17-Nov-2017 20:19:58 UTC] PHP Fatal error:  Call to a member function agentes() on null in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 113
[17-Nov-2017 20:20:14 UTC] PHP Fatal error:  Call to a member function agentes() on null in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 113
[17-Nov-2017 20:22:20 UTC] PHP Fatal error:  Call to a member function agentes() on null in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 113
[18-Nov-2017 22:30:36 UTC] PHP Fatal error:  Class 'App\Http\Controllers\UserAgente' not found in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 113
[18-Nov-2017 22:36:21 UTC] PHP Fatal error:  Class 'App\Http\Controllers\App\Models\UserAgente' not found in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 112
[18-Nov-2017 22:38:57 UTC] PHP Fatal error:  Class 'App\Http\Controllers\App\Models\UserAgente' not found in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 112
[18-Nov-2017 22:39:07 UTC] PHP Fatal error:  Call to a member function useragentes() on null in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 112
[18-Nov-2017 22:40:52 UTC] PHP Fatal error:  Call to a member function useragentes() on null in /home/ubuntu/workspace/api/app/Http/Controllers/UsersController.php on line 112
[29-Nov-2017 19:56:33 UTC] PHP Fatal error:  Call to a member function delete() on null in /home/ubuntu/workspace/api/app/Http/Controllers/FavoritosController.php on line 82
